Store_ID,Department,Region,Product_Category,Date,Weekly_Sales,Cost,Profit,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
6,1,South,Electronics,2023-09-28,23445.99,18043.75,5402.24,0,11.5,2.57,200.13,8.74
11,10,West,Sports,2024-03-31,35583.84,27241.87,8341.97,0,28.1,3.57,253.32,5.4
3,2,North,Groceries,2024-04-06,58820.27,42145.64,16674.63,1,34.2,3.91,216.2,4.36
8,6,South,Clothing,2024-12-27,42346.5,36137.29,6209.21,0,14.71,3.18,240.08,4.39
14,2,West,Clothing,2023-09-09,36591.95,22003.15,14588.8,1,10.45,2.72,248.38,8.13
14,3,West,Clothing,2024-12-02,42834.29,32385.03,10449.26,1,19.38,3.06,209.85,7.3
10,4,South,Sports,2023-10-23,47141.75,31356.15,15785.6,0,27.64,4.04,226.55,4.44
2,5,East,Clothing,2024-12-25,48188.84,39661.8,8527.04,0,14.15,3.2,229.63,4.02
14,9,South,Clothing,2024-12-20,48603.57,29790.11,18813.46,0,22.78,4.12,218.73,3.84
9,4,West,Sports,2023-12-04,33153.87,28163.1,4990.77,0,26.57,3.14,228.91,7.39
3,9,South,Electronics,2023-02-22,22312.02,18997.07,3314.95,0,27.97,2.83,219.05,3.0
8,10,East,Clothing,2023-08-05,10991.89,9341.57,1650.32,0,18.23,3.37,221.64,3.13
16,3,North,Clothing,2023-07-07,22349.66,14432.75,7916.91,0,22.0,3.4,240.16,5.73
2,8,North,Clothing,2024-01-15,47433.0,37430.42,10002.58,0,33.35,2.53,237.96,7.84
6,1,South,Groceries,2024-05-07,47505.64,28708.14,18797.5,1,38.24,2.73,213.94,7.87
12,9,South,Sports,2023-02-10,28564.68,24405.34,4159.34,0,35.86,2.87,253.85,6.01
5,9,West,Clothing,2023-06-06,29165.33,23824.94,5340.39,0,26.93,2.73,251.77,7.84
2,10,East,Groceries,2023-01-15,18901.42,14352.72,4548.7,0,22.31,3.18,230.54,6.65
16,2,West,Electronics,2023-03-06,25452.86,20850.41,4602.45,0,19.99,4.43,226.0,9.84
5,4,West,Electronics,2024-06-04,37150.18,23341.36,13808.82,0,13.75,3.52,222.61,4.14
15,8,North,Groceries,2023-12-10,23109.38,17530.7,5578.68,0,13.2,3.76,242.44,7.2
12,7,West,Electronics,2023-05-09,15313.31,10526.11,4787.2,1,30.65,3.21,240.3,6.44
4,1,West,Home,2024-10-09,29338.68,26163.82,3174.86,0,17.79,3.15,211.77,4.36
15,5,North,Electronics,2024-04-16,15140.16,12977.17,2162.99,0,17.64,2.55,240.29,8.25
11,7,North,Home,2023-03-04,48842.94,40050.37,8792.57,0,39.95,3.5,215.15,4.93
16,4,East,Groceries,2023-05-19,24256.2,21348.47,2907.73,1,15.64,3.47,201.11,5.67
6,1,East,Home,2024-05-13,45934.92,32340.62,13594.3,0,14.44,2.82,241.95,5.62
14,9,East,Electronics,2024-08-15,15149.93,13184.44,1965.49,0,12.96,4.03,238.69,4.71
18,5,South,Clothing,2024-01-27,13514.41,9427.27,4087.14,0,27.39,3.49,224.65,6.01
12,2,North,Home,2024-11-05,32760.55,26858.38,5902.17,0,28.84,3.18,231.54,6.31
11,8,South,Electronics,2024-02-23,40072.06,32896.16,7175.9,0,20.96,2.79,256.83,8.21
13,2,South,Clothing,2023-10-16,30504.41,18470.57,12033.84,0,26.06,3.6,235.71,8.36
11,3,East,Groceries,2024-01-14,21172.98,14997.2,6175.78,1,33.65,4.01,239.47,4.11
16,10,North,Groceries,2024-05-04,6705.25,4062.24,2643.01,0,34.54,3.06,203.83,7.15
15,1,South,Sports,2023-08-19,32823.0,29512.07,3310.93,0,38.74,2.94,209.96,9.27
15,2,West,Groceries,2023-02-10,10896.68,6937.47,3959.21,0,34.73,3.54,218.06,3.76
4,7,West,Sports,2023-01-28,20442.94,15594.76,4848.18,0,26.95,2.81,232.36,6.31
11,10,North,Groceries,2023-05-15,35410.31,29644.34,5765.97,0,15.39,3.83,246.6,8.25
19,2,South,Groceries,2023-07-20,9411.05,6214.86,3196.19,0,12.99,3.71,219.27,7.28
15,6,East,Groceries,2023-02-02,10726.32,7996.64,2729.68,0,11.64,2.67,221.38,3.7
4,3,South,Sports,2023-02-17,7774.98,6081.81,1693.17,0,30.0,2.57,215.37,5.78
13,4,West,Sports,2024-05-17,49823.56,32288.73,17534.83,0,34.23,3.74,215.28,6.55
19,8,West,Home,2024-02-11,22418.45,18687.27,3731.18,0,25.26,3.09,256.93,9.97
2,3,East,Electronics,2024-07-27,45760.78,31565.83,14194.95,0,11.64,2.67,238.13,4.25
14,10,North,Electronics,2024-12-28,18211.35,12079.71,6131.64,0,26.06,4.02,209.35,9.88
4,6,South,Electronics,2023-04-09,38894.12,29850.72,9043.4,0,38.07,3.13,243.33,5.63
16,1,West,Groceries,2024-11-14,22239.99,16081.61,6158.38,1,27.93,3.42,243.32,4.4
20,7,South,Electronics,2024-12-26,27424.61,24026.31,3398.3,0,34.28,2.97,239.99,5.9
14,8,East,Sports,2024-06-30,42107.71,36381.85,5725.86,0,34.0,3.75,208.08,7.3
15,8,East,Home,2024-09-04,49833.43,37126.16,12707.27,1,37.96,3.1,224.48,4.49
3,3,North,Clothing,2024-04-06,47906.31,33907.09,13999.22,1,33.11,4.44,206.41,5.04
8,10,East,Home,2024-10-04,42068.05,29349.0,12719.05,0,32.43,3.91,249.0,8.98
16,1,North,Electronics,2023-01-05,14516.25,9874.96,4641.29,0,17.02,2.77,239.31,9.99
10,9,South,Electronics,2023-08-06,26699.73,20381.62,6318.11,0,11.8,3.33,230.43,5.23
4,6,West,Sports,2024-05-17,26819.22,22568.2,4251.02,0,25.53,3.27,220.58,4.04
18,9,West,Home,2024-02-02,45072.61,31245.55,13827.06,0,13.73,3.57,211.05,8.55
2,7,North,Sports,2024-01-28,18360.13,12063.12,6297.01,0,38.87,4.18,206.39,7.2
17,1,West,Sports,2023-07-26,46917.32,34842.92,12074.4,0,18.7,3.67,258.15,3.7
13,1,North,Clothing,2023-01-15,25285.81,15695.16,9590.65,0,35.59,2.62,211.98,9.63
4,6,North,Sports,2024-07-07,35140.42,28477.22,6663.2,0,21.63,3.81,203.59,3.55
11,5,South,Sports,2024-04-05,17099.74,12918.98,4180.76,0,19.7,2.52,257.7,7.38
7,9,South,Clothing,2024-11-21,23463.41,17572.04,5891.37,0,38.05,4.06,232.94,5.97
12,2,East,Groceries,2024-07-28,36941.04,25494.25,11446.79,0,20.9,3.83,247.8,6.9
10,8,North,Groceries,2023-08-29,28073.62,24463.41,3610.21,0,21.71,3.12,202.63,4.49
7,5,South,Clothing,2024-07-17,46881.86,29401.77,17480.09,0,13.18,3.08,234.02,7.82
13,2,North,Sports,2023-04-06,38170.62,32862.89,5307.73,0,30.11,4.1,223.89,9.72
7,10,North,Electronics,2024-04-29,34187.25,24375.9,9811.35,1,18.67,4.07,246.32,6.21
17,6,North,Home,2024-02-11,44900.14,38802.12,6098.02,0,27.57,3.2,202.31,6.66
10,10,South,Electronics,2023-08-19,34950.04,28611.1,6338.94,0,27.74,3.1,224.1,4.68
10,8,North,Electronics,2024-10-16,43257.48,27306.34,15951.14,1,31.58,3.62,247.94,9.24
4,4,North,Sports,2023-06-20,16086.71,13665.03,2421.68,0,32.36,2.52,231.36,9.8
20,2,East,Home,2024-06-24,22768.56,18320.79,4447.77,0,25.43,2.67,233.0,8.5
4,5,North,Home,2023-02-05,37478.47,22850.27,14628.2,1,19.93,2.75,205.83,6.8
7,2,East,Groceries,2024-06-08,45130.63,28888.6,16242.03,0,35.12,2.87,207.94,9.7
1,2,North,Clothing,2023-06-09,19199.64,15180.93,4018.71,0,19.3,3.52,240.62,4.08
12,6,East,Sports,2024-11-29,14696.85,11739.55,2957.3,0,25.23,4.48,240.5,6.35
13,10,South,Home,2023-08-31,31716.32,26134.1,5582.22,0,22.04,3.81,258.75,6.76
10,9,South,Sports,2023-03-27,8023.87,6548.07,1475.8,0,35.65,2.62,242.72,6.44
15,4,West,Groceries,2024-07-31,37154.38,29643.84,7510.54,0,22.96,3.55,229.59,8.62
13,6,North,Electronics,2024-11-12,36641.23,30407.52,6233.71,0,21.58,3.49,251.44,7.69
9,7,West,Home,2024-07-10,20973.47,16202.54,4770.93,0,30.69,2.79,206.27,3.89
9,6,West,Groceries,2024-07-27,45170.49,30636.32,14534.17,0,28.07,4.34,226.96,5.43
15,8,East,Sports,2024-10-07,27598.15,24112.86,3485.29,0,13.22,3.38,217.23,5.37
10,4,South,Groceries,2023-01-28,34059.42,20621.76,13437.66,0,25.25,4.49,206.28,6.96
10,1,North,Groceries,2024-09-11,14431.03,10245.58,4185.45,0,32.06,3.34,245.81,5.04
8,7,North,Groceries,2024-07-09,23780.32,19468.02,4312.3,0,39.76,3.72,230.65,3.82
16,3,East,Groceries,2023-12-06,43808.79,31899.23,11909.56,0,28.87,2.71,233.41,7.58
17,6,West,Groceries,2023-11-27,14582.28,8858.01,5724.27,0,21.11,3.41,224.68,8.96
5,2,East,Groceries,2024-10-01,22575.85,13992.38,8583.47,0,16.78,2.98,227.62,9.52
4,9,West,Clothing,2024-05-20,28235.39,22435.59,5799.8,1,36.18,4.17,206.96,9.81
18,1,North,Sports,2023-12-14,11799.96,10495.59,1304.37,0,34.44,4.07,240.38,8.47
19,6,East,Electronics,2024-04-17,18037.31,13808.63,4228.68,0,17.02,4.15,225.95,3.98
4,6,West,Sports,2023-08-19,15474.75,11637.44,3837.31,0,16.02,3.95,249.01,8.97
7,5,East,Home,2023-07-09,52148.6,36269.22,15879.38,1,31.45,4.17,211.78,5.8
10,5,South,Home,2023-08-13,38348.55,25962.24,12386.31,0,19.45,2.9,212.3,8.11
18,1,East,Sports,2024-01-20,19224.57,11655.77,7568.8,0,19.19,3.4,238.75,6.72
19,10,North,Groceries,2024-01-12,39350.26,26832.41,12517.85,0,14.57,3.88,250.76,8.8
4,5,East,Clothing,2023-10-10,5996.3,4405.68,1590.62,0,17.92,3.77,228.33,5.98
10,2,North,Electronics,2024-09-24,28693.61,18920.13,9773.48,0,22.83,3.93,243.62,3.43
1,7,North,Groceries,2024-09-19,16265.06,10185.25,6079.81,0,31.99,2.95,259.96,6.9
18,3,East,Sports,2023-09-16,18408.97,15009.17,3399.8,1,20.09,2.7,259.42,4.2
5,4,East,Sports,2023-12-25,44769.13,38876.89,5892.24,0,19.86,4.33,244.66,9.76
15,3,East,Clothing,2024-12-10,13970.32,12308.29,1662.03,0,18.55,3.62,244.38,6.69
17,3,South,Clothing,2024-03-31,50300.59,39506.06,10794.53,1,24.35,2.81,214.86,6.87
3,4,South,Sports,2024-02-15,23595.02,14530.58,9064.44,0,15.42,4.09,250.01,9.35
12,5,West,Groceries,2024-10-10,5643.08,4640.07,1003.01,0,24.57,4.33,224.31,7.37
2,1,East,Groceries,2023-11-14,37963.98,24032.28,13931.7,0,31.13,2.84,257.72,5.12
1,4,West,Groceries,2024-11-07,31836.19,25498.38,6337.81,0,10.89,4.13,204.89,5.07
17,8,West,Electronics,2023-08-13,20487.73,17082.87,3404.86,0,10.29,4.37,226.15,6.51
16,10,North,Electronics,2023-08-22,17669.57,14449.46,3220.11,0,12.25,4.38,233.35,9.07
5,7,West,Groceries,2024-11-14,8316.11,7364.46,951.65,0,26.07,4.33,224.31,8.56
15,9,East,Sports,2024-10-25,47364.15,38906.99,8457.16,0,35.63,3.59,212.63,9.74
3,5,South,Clothing,2024-01-09,27229.32,22000.28,5229.04,0,10.15,3.21,235.58,3.5
7,10,West,Home,2024-11-02,8848.6,6003.98,2844.62,0,38.1,2.51,245.36,4.88
11,4,West,Clothing,2024-08-30,44090.59,38686.43,5404.16,0,13.19,2.62,238.69,3.56
10,8,South,Clothing,2024-04-16,17547.49,11473.66,6073.83,0,35.26,3.36,214.07,8.26
9,9,West,Home,2023-08-21,14162.12,12341.85,1820.27,0,24.49,3.3,243.9,3.99
14,7,East,Groceries,2024-11-22,17642.18,12240.12,5402.06,0,29.78,2.87,215.41,3.7
13,7,West,Clothing,2023-04-23,38574.7,24651.13,13923.57,1,25.32,3.29,210.51,6.93
2,5,North,Home,2024-05-11,8332.54,7066.03,1266.51,0,24.31,2.85,241.44,5.88
3,4,West,Sports,2024-03-17,26679.06,16027.41,10651.65,0,35.05,4.2,250.57,8.01
7,10,North,Sports,2024-07-17,45308.46,38495.27,6813.19,0,32.68,3.1,228.89,6.41
18,1,South,Sports,2023-09-25,13467.72,9140.45,4327.27,0,24.5,3.7,231.88,5.98
3,10,South,Groceries,2024-05-24,19903.49,17224.81,2678.68,0,13.35,3.51,218.16,5.98
10,10,West,Clothing,2024-01-21,22825.49,18430.3,4395.19,0,13.46,2.6,229.68,9.1
7,7,West,Clothing,2024-01-22,31379.93,25099.39,6280.54,0,34.05,4.38,207.92,5.77
9,1,South,Electronics,2023-04-23,46366.44,32901.43,13465.01,0,25.88,3.55,257.35,5.33
17,1,North,Sports,2024-09-04,22754.26,14058.06,8696.2,0,24.45,3.15,248.02,5.37
11,5,South,Groceries,2024-09-16,8111.88,6887.16,1224.72,0,30.42,2.82,240.08,4.38
7,9,South,Home,2023-03-22,20657.79,13453.82,7203.97,0,35.77,3.18,232.29,9.02
14,6,North,Groceries,2024-11-29,13553.84,9645.96,3907.88,0,28.87,2.54,247.53,4.03
19,3,South,Clothing,2023-04-23,34329.85,26780.94,7548.91,0,32.89,3.23,229.69,9.36
4,3,West,Sports,2023-01-02,6316.79,4703.96,1612.83,0,32.96,3.56,218.0,4.98
6,7,West,Electronics,2024-10-03,18136.85,11963.03,6173.82,0,20.69,4.24,209.62,9.3
10,6,South,Groceries,2023-08-08,29532.81,18965.52,10567.29,0,18.22,3.87,238.86,8.54
7,9,West,Electronics,2024-07-19,17480.04,11134.33,6345.71,0,34.03,2.72,255.77,7.07
13,6,East,Clothing,2023-08-13,29794.79,25590.82,4203.97,0,21.32,2.8,209.22,7.69
14,5,South,Home,2024-01-20,10162.05,6193.44,3968.61,0,37.1,3.36,210.8,5.28
4,10,East,Groceries,2024-02-07,47426.25,42356.59,5069.66,0,12.09,2.89,226.02,7.02
8,7,South,Clothing,2024-09-29,18090.81,11931.95,6158.86,0,11.75,2.56,248.41,5.05
5,1,South,Sports,2023-05-10,47887.81,30317.61,17570.2,1,37.81,4.11,217.64,5.82
1,7,East,Groceries,2023-02-22,19662.59,15200.98,4461.61,0,29.45,2.54,215.23,8.35
4,3,South,Electronics,2024-11-14,40182.81,25073.9,15108.91,0,21.39,4.16,237.2,4.71
3,9,West,Groceries,2024-12-30,16078.43,12553.01,3525.42,0,32.65,2.79,232.14,8.87
9,6,East,Clothing,2024-11-02,35139.6,30050.96,5088.64,0,30.17,4.45,203.61,5.63
8,9,South,Clothing,2024-12-10,27459.66,16870.38,10589.28,1,25.94,3.71,204.89,6.73
1,5,West,Electronics,2024-02-20,27912.16,23445.11,4467.05,0,12.97,3.97,238.58,9.59
6,7,East,Clothing,2023-09-04,35321.64,25373.06,9948.58,0,34.37,2.72,227.91,7.77
9,4,East,Groceries,2024-03-14,31499.71,20407.0,11092.71,0,35.98,4.22,258.26,7.52
7,7,West,Electronics,2023-07-22,30932.63,20193.72,10738.91,0,15.17,4.18,240.71,7.98
4,1,South,Clothing,2023-07-03,7955.64,6966.19,989.45,0,35.52,3.81,200.6,9.43
13,7,South,Clothing,2023-05-03,16208.46,10262.9,5945.56,0,36.34,3.5,228.86,4.74
17,8,East,Groceries,2024-02-05,30732.77,26431.25,4301.52,0,26.48,3.94,224.87,7.29
2,5,North,Clothing,2023-10-21,5824.27,4445.51,1378.76,0,29.69,2.51,206.4,5.8
5,2,South,Groceries,2023-10-07,16278.99,9958.13,6320.86,0,21.47,3.68,255.39,3.08
12,5,South,Sports,2024-09-01,18436.9,13631.19,4805.71,1,18.45,4.19,248.3,3.88
8,6,West,Groceries,2023-07-17,16243.52,13729.59,2513.93,0,31.66,3.21,213.81,5.27
6,2,North,Home,2024-05-25,29102.43,23801.74,5300.69,0,35.86,2.72,215.36,6.95
8,6,North,Clothing,2023-05-24,31188.22,23286.21,7902.01,0,29.62,3.34,201.92,9.17
18,6,East,Sports,2024-08-31,45904.91,39387.1,6517.81,0,25.35,3.95,217.8,8.54
3,1,West,Electronics,2023-07-20,22371.4,14230.66,8140.74,0,14.77,2.71,235.08,6.87
12,1,West,Home,2023-05-04,46696.05,40764.83,5931.22,0,11.6,2.91,225.25,3.52
3,10,South,Electronics,2023-07-06,34337.95,29322.29,5015.66,0,23.37,2.8,258.16,5.0
6,3,East,Home,2023-11-22,50388.23,40939.58,9448.65,1,11.48,4.09,203.36,5.57
2,10,South,Sports,2024-04-08,42506.24,35933.34,6572.9,0,27.08,2.63,235.49,7.35
12,10,North,Sports,2023-12-15,35941.21,27428.34,8512.87,0,21.48,3.87,251.5,3.45
2,3,West,Sports,2024-10-21,21024.77,16873.4,4151.37,0,32.72,3.23,228.84,6.71
6,4,East,Home,2024-02-07,15849.97,12175.62,3674.35,0,19.17,4.01,200.18,9.31
17,2,South,Groceries,2023-12-12,15007.61,10604.81,4402.8,0,27.79,4.43,214.57,7.94
3,9,South,Electronics,2024-05-25,47847.82,36874.32,10973.5,0,26.13,2.73,219.43,8.58
2,10,North,Groceries,2023-05-27,48135.82,32599.48,15536.34,0,10.14,3.13,257.96,7.77
20,7,West,Groceries,2023-05-28,39829.34,29158.41,10670.93,1,12.17,4.12,254.71,4.45
8,7,North,Clothing,2024-12-11,44770.82,30633.66,14137.16,0,18.71,3.03,256.95,3.77
12,6,South,Electronics,2024-05-03,46354.83,29521.83,16833.0,0,36.47,2.93,249.55,8.81
4,3,West,Home,2024-10-01,28020.03,19517.59,8502.44,0,14.41,4.15,221.1,7.87
5,6,West,Clothing,2024-07-04,33307.69,28497.93,4809.76,0,31.33,4.47,254.35,7.03
13,8,North,Clothing,2023-12-04,23843.95,17032.31,6811.64,0,39.2,3.61,258.9,4.32
15,8,West,Sports,2024-10-02,23832.08,19647.19,4184.89,0,33.72,3.06,221.0,7.22
16,9,North,Home,2024-04-17,6729.3,4391.27,2338.03,0,17.29,3.3,215.63,3.22
10,1,West,Groceries,2023-05-31,24521.97,17835.46,6686.51,0,37.25,2.84,232.81,3.83
16,1,West,Groceries,2024-02-19,35307.04,22400.79,12906.25,0,12.79,4.02,211.23,5.18
12,3,East,Groceries,2023-10-25,23989.2,15391.14,8598.06,0,24.04,4.05,201.96,6.11
17,3,West,Sports,2024-09-02,44258.44,34753.1,9505.34,0,36.63,4.25,256.75,3.84
16,10,South,Groceries,2023-09-20,19965.33,15617.77,4347.56,0,29.24,2.55,255.54,3.84
12,8,East,Electronics,2023-05-24,10970.69,7284.67,3686.02,0,22.41,3.62,209.76,8.08
8,10,North,Groceries,2023-12-12,41520.14,30821.52,10698.62,0,18.78,2.93,224.46,6.99
20,1,South,Groceries,2024-09-15,35327.66,30346.17,4981.49,0,21.25,3.18,249.86,6.74
3,2,North,Electronics,2024-07-25,15881.88,10359.12,5522.76,0,25.27,4.07,239.66,6.17
16,2,North,Sports,2023-01-02,29140.31,17652.13,11488.18,0,19.57,2.88,223.69,9.84
13,3,South,Clothing,2023-10-31,23083.36,18365.09,4718.27,0,39.07,3.78,244.65,3.35
19,6,North,Home,2023-09-11,47248.69,29107.53,18141.16,0,37.99,3.81,253.82,4.26
8,1,East,Sports,2024-10-13,32329.94,28902.39,3427.55,0,36.12,4.41,255.57,7.53
5,2,South,Groceries,2024-03-28,12127.52,9494.47,2633.05,0,22.65,4.05,222.73,3.95
20,1,North,Clothing,2023-02-06,27596.68,20452.42,7144.26,0,30.74,4.11,210.41,7.13
